year,doy,temp,GrowthDD,prec,vpd,snowpack,ET,Drain,Soilwater,DWater,DwaterIx,Dwatertot,Foliage,PlantC,BudC,WoodC,RootC,LAI,NetPsnMo,GrsPsnMo,NEE,WoodMR,WoodGR,FolGR,RootGR,RootMR,SoilResp,FoliarN
1895,135,12.5295,685.3675000000001,8.9,0.6615170448107668,-1462.7406663285724,3.72355607052512,5.176443929474848,12.0,0.9999999999999993,61,60.99999999999998,299.435062309074,408.27832365530753,134.7457780390833,183.28741525205191,296.5517793300836,4.6123662098998635,88.44944512370098,107.32975559313012,15.505311919802761,12.581163360848764,0,33.68644450977082,6.729349324308185,26.91739729723274,65.43105031237911,2.0
1895,166,18.802,1249.4275,2.06,1.0510976133407979,-1462.7406663285724,6.976097335037777,5.359783929474848,6.900562664962204,0.9999999999999994,91,90.99999999999996,299.435062309074,579.8589299087135,134.7457780390833,183.28741525205191,243.13850032094524,4.6123662098998635,137.0788747818231,166.11828993594872,26.872399362478234,24.209443656365174,22.87345117606656,33.68644450977082,12.664158103101336,50.656632412405344,75.70474394776188,2.0
1895,196,23.1,1965.5275000000001,4.45,1.3166887579224698,-1462.7406663285724,8.49851628162292,5.755833929474848,2.4559963833392824,0.9999999999999996,122,121.99999999999994,299.435062309074,731.3914615794599,134.7457780390833,183.28741525205191,173.58761752660553,4.6123662098998635,117.56916304430113,157.356656992841,32.065042022232326,35.22440964586404,45.82185381301298,33.68644450977082,20.392033969139085,81.56813587655634,51.540752395623514,2.0
1895,227,21.7955,2641.188,8.77,1.2058943017916561,-1462.7406663285724,7.23585505675007,6.536363929474848,3.2096113265892234,1.0,153,152.99999999999994,299.435062309074,841.5407431690571,134.7457780390833,183.28741525205191,130.0049367230947,4.6123662098998635,100.73200323308798,134.53254795013177,62.18593858991434,44.64168800237327,45.82185381301298,33.68644450977082,25.234554058418066,100.93821623367226,29.128786286664404,2.0
1895,258,18.6715,3201.333,4.12,0.9020098426380434,-1462.7406663285724,4.105317113839424,6.903043929474848,2.8576142127497994,1.0,183,182.99999999999994,299.435062309074,929.5260126395289,134.7457780390833,183.28741525205191,106.89275162686599,4.6123662098998635,80.65330197879922,104.74239273817943,49.06264344143362,51.97365549404583,45.82185381301298,33.68644450977082,27.802574624665702,111.21029849866281,24.258691045693038,2.0
1895,288,12.139000000000001,3577.6420000000003,5.29,0.7068123788820384,-1462.7406663285724,2.4842163826506747,7.373853929474848,5.192587830099125,1.0,214,213.99999999999994,299.435062309074,990.4339407297725,134.7457780390833,183.28741525205191,96.67472598231176,4.6123662098998635,56.03415043462891,69.62539508021065,29.588305823150804,56.847433149660574,45.82185381301298,33.68644450977082,28.93791080739395,115.7516432295758,21.57206695586336,2.0
1895,319,5.255000000000001,3735.2920000000004,16.24,0.35460199138597615,-1462.7406663285724,1.8234486364128408,7.609139193686288,12.0,1.0,244,243.99999999999994,0.0,985.8710289238923,134.7457780390833,183.28741525205191,92.18186562146927,0,-4.7521105152723315,2.7028387055997416,-38.16551566297296,57.036631859052555,45.82185381301298,33.68644450977082,29.437117514154227,117.74847005661691,33.22420643830865,2.0
1895,349,1.4789999999999999,3781.1410000000005,7.83,0.28226024917307224,-1463.2593367142867,0.8613000000000001,7.4873703857142875,12.0,1.0,244,243.99999999999994,0.0,985.8710289238923,134.7457780390833,183.28741525205191,89.1472317066945,0,0.0,0.0,-30.86315017294866,57.036631859052555,45.82185381301298,33.68644450977082,29.774299060240313,119.09719624096125,30.86315017294866,2.0
1896,15,0.36499999999999977,11.314999999999992,18.17,0.26701661553680756,-1467.036490357144,1.9987000000000001,19.948453642857146,12.0,1.0,0,0,0.0,630.721427700798,144.9091253228282,210.240475900266,86.52187529730242,0,0.0,0.0,-28.61156255348805,0.0,0,0,0.2917062677102318,1.1668250708409271,28.61156255348805,2.0
1896,46,1.068,42.28699999999999,10.78,0.2762469066897379,-1468.313889557144,1.1858,10.8715992,12.0,1.0,0,0,0.0,630.721427700798,144.9091253228282,210.240475900266,83.96462322896431,0,0.0,0.0,-28.076236621166526,0.0,0,0,0.575845386414465,2.30338154565786,28.076236621166526,2.0
